Date,Value
2013-05-29,101.7159
2013-05-28,101.7539
2013-05-24,101.4562
2013-05-23,101.3947
2013-05-22,101.4666
2013-05-21,101.139
2013-05-20,101.2263
2013-05-17,101.3582
2013-05-16,100.8861
2013-05-15,100.9813
2013-05-14,100.5721
2013-05-13,100.4875
2013-05-10,100.457
2013-05-09,99.4857
2013-05-08,99.3735
2013-05-07,99.7261
2013-05-06,99.8672
2013-05-03,99.7387
2013-05-02,99.8485
2013-05-01,99.6741
2013-04-30,99.6081
2013-04-29,99.8723
2013-04-26,100.1284
2013-04-25,100.2696
2013-04-24,100.6858
2013-04-23,100.6197
2013-04-22,100.5941
2013-04-19,100.4434
2013-04-18,100.4063
2013-04-17,100.3612
2013-04-16,100.0717
2013-04-15,100.1923
2013-04-12,100.0677
2013-04-11,99.9724
2013-04-10,100.2258
2013-04-09,100.2427
2013-04-08,100.5131
2013-04-05,100.3877
2013-04-04,100.668
2013-04-03,100.356
2013-04-02,100.3898
2013-04-01,100.4253
2013-03-29,100.5565
2013-03-28,100.5188
2013-03-27,100.7027
2013-03-26,100.4808
2013-03-25,100.5568
2013-03-22,100.465
2013-03-21,100.5869
2013-03-20,100.6559
2013-03-19,100.7712
2013-03-18,100.5899
2013-03-15,100.3728
2013-03-14,100.7032
2013-03-13,100.6824
2013-03-12,100.5911
2013-03-11,100.7491
2013-03-08,100.834
2013-03-07,100.7592
2013-03-06,100.8051
2013-03-05,100.7097
2013-03-04,100.8563
2013-03-01,100.8282
2013-02-28,100.5103
2013-02-27,100.4597
2013-02-26,100.6556
2013-02-25,100.429
2013-02-22,100.3708
2013-02-21,100.3043
2013-02-20,99.9174
2013-02-19,99.7817
2013-02-15,99.7299
2013-02-14,99.652
2013-02-13,99.5581
2013-02-12,99.5809
2013-02-11,99.7504
2013-02-08,99.4836
2013-02-07,99.4653
2013-02-06,99.1843
2013-02-05,99.0328
2013-02-04,99.1454
2013-02-01,98.8511
2013-01-31,98.9533
2013-01-30,99.0197
2013-01-29,99.0729
2013-01-28,99.3742
2013-01-25,99.1996
2013-01-24,99.0151
2013-01-23,98.9463
2013-01-22,98.9066
2013-01-18,98.9855
2013-01-17,98.666
2013-01-16,98.7287
2013-01-15,98.6643
2013-01-14,98.642
2013-01-11,98.6939
2013-01-10,98.8048
2013-01-09,99.1691
2013-01-08,99.2234
2013-01-07,99.1576
2013-01-04,99.2813
2013-01-03,98.9773
2013-01-02,98.8702
2012-12-31,99.2671
2012-12-28,99.2148
2012-12-27,99.2797
2012-12-26,99.2429
2012-12-24,99.2165
2012-12-21,99.1309
2012-12-20,98.7819
2012-12-19,98.6734
2012-12-18,98.7045
2012-12-17,98.8148
2012-12-14,98.9031
2012-12-13,98.9549
2012-12-12,98.958
2012-12-11,99.0177
2012-12-10,99.1229
2012-12-07,99.2048
2012-12-06,99.2221
2012-12-05,99.097
2012-12-04,99.1264
2012-12-03,99.1645
2012-11-30,99.2551
2012-11-29,99.3638
2012-11-28,99.4892
2012-11-27,99.4134
2012-11-26,99.4278
2012-11-23,99.4219
2012-11-21,99.8123
2012-11-20,99.7054
2012-11-19,99.7189
2012-11-16,100.1683
2012-11-15,100.0339
2012-11-14,99.9266
2012-11-13,99.8716
2012-11-09,99.8385
2012-11-08,99.6984
2012-11-07,99.6112
2012-11-06,99.4647
2012-11-05,99.6536
2012-11-02,99.4538
2012-11-01,99.2934
2012-10-31,99.3239
2012-10-30,99.2473
2012-10-29,99.4935
2012-10-26,99.3173
2012-10-25,99.199
2012-10-24,99.3134
2012-10-23,99.2727
2012-10-22,98.9697
2012-10-19,98.978
2012-10-18,98.5681
2012-10-17,98.4235
2012-10-16,98.752
2012-10-15,98.8602
2012-10-12,98.8964
2012-10-11,98.9701
2012-10-10,99.119
2012-10-09,99.1055
2012-10-05,98.5214
2012-10-04,98.7206
2012-10-03,99.0969
2012-10-02,98.8762
2012-10-01,98.9306
2012-09-28,99.0645
2012-09-27,99.0141
2012-09-26,99.2677
2012-09-25,98.8832
2012-09-24,99.1061
2012-09-21,98.8094
2012-09-20,99.0395
2012-09-19,98.7463
2012-09-18,98.7949
2012-09-17,98.5633
2012-09-14,98.4173
2012-09-13,99.2751
2012-09-12,99.3626
2012-09-11,99.3869
2012-09-10,99.6386
2012-09-07,99.6825
2012-09-06,100.2385
2012-09-05,100.4661
2012-09-04,100.5015
2012-08-31,100.5155
2012-08-30,100.9716
2012-08-29,100.7349
2012-08-28,100.5452
2012-08-27,100.6481
2012-08-24,100.601
2012-08-23,100.425
2012-08-22,100.769
2012-08-21,100.6483
2012-08-20,100.9736
2012-08-17,101.0568
2012-08-16,100.9253
2012-08-15,101.0187
2012-08-14,100.9375
2012-08-13,100.9145
2012-08-10,100.8277
2012-08-09,100.9088
2012-08-08,100.8456
2012-08-07,100.8216
